Base_Pair	Mean_Score
1	30.31289200319662
2	30.290440879614764
3	33.14200985260949
4	33.04031725280348
5	34.663757041708976
6	37.232756369417714
7	37.42211409048857
8	37.595308015163724
9	37.786928917966065
10	37.30549621743421
11	37.51107229218729
12	37.815366939942905
13	37.594112410415114
14	37.70525767842888
15	37.480321623205846
16	37.11118600412104
17	37.31467260754296
18	37.514703479692834
19	37.28665038483255
20	37.3298014158416
21	36.99870910185758
22	37.124328345245495
23	37.508238368495626
24	37.66035892293151
25	37.59951911025358
26	37.439344445464464
27	37.52168477556369
28	37.54856871504787
29	37.398998386413695
30	37.44874997617665
31	37.248333420382515
32	36.73835925725856
33	36.57147564657295
34	36.28841163952793
35	36.076479277178514
36	36.02910725802498
37	35.98940061037237
38	35.99210257817368
39	35.986845729015556
40	36.67041652233233
41	37.03691564235967
42	37.29199088849669
43	37.33157983789648
44	37.52365785801692
45	37.56437636147709
46	37.54749240889915
47	37.58487520711765
48	37.5451538653692
49	37.534477077137744
50	37.48042128118258
51	37.55987298481751
52	37.57893268198237
53	37.569559303697716
54	37.3618918662942
55	37.38950687341793
56	37.46538121940336
57	37.47513635320765
58	37.392463441889724
59	37.3458128882933
60	37.28525531864438
61	37.25317301541323
62	37.284410189904456
63	37.29498571981211
64	37.21478883638619
65	37.24698243648186
66	37.177325875328016
67	37.240038385051946
68	37.124627319175694
69	37.0717633453306
70	37.11354506119073
71	37.10090159189433
72	37.02979322497432
73	36.96645076044856
74	36.96545432616732
75	36.95912931808193
76	36.83070612113842
77	35.85693726450347
78	36.28667075288619
79	36.735670237719916
80	36.859007531669775
81	36.99545108619193
82	36.99918484139615
83	37.02378217588716
84	36.92721010476599
85	36.827617596776264
86	36.824522234567524
87	36.76507588773071
88	36.75522124143578
89	36.71825264213664
90	36.63180567596551
91	36.59270570533915
92	36.488982410585336
93	36.45154650994128
94	36.40116249211283
95	36.22179151871337
96	36.22483406946874
97	36.21717233512024
98	36.129888096458444
99	35.87896065895891
100	35.95010830712523
101	33.89357051834805
