Base_Pair	Mean_Score
1	30.906703628340647
2	31.255686293843365
3	34.52072597656134
4	35.30207340516566
5	35.83745051879148
6	39.04410094864762
7	39.246185003224575
8	39.27278436690707
9	39.462389788611006
10	39.3441922518672
11	39.420202455387525
12	39.47809214521523
13	39.367845116516335
14	39.41954333332888
15	39.314048953534446
16	39.161034156195655
17	39.191742589764395
18	39.33348843992439
19	39.21400787376428
20	39.28541673016444
21	39.172768787437626
22	39.20580928422235
23	39.30096232063423
24	39.326394013403686
25	39.28555916755847
26	39.30492361020629
27	39.304355196360206
28	39.31582838880478
29	39.26167060727266
30	39.29197467892996
31	39.197041916544315
32	38.905121881115896
33	38.89672196062826
34	38.77548272372841
35	38.72978011333548
36	38.67039999164562
37	38.6364475555351
38	38.6566878727977
39	38.62454510802838
40	38.89780730199897
41	39.04675212991262
42	39.149310453653996
43	39.101698235027044
44	39.22237270098093
45	39.21544584786496
46	39.184048056166716
47	39.211746847100315
48	39.166580835892574
49	39.15096882321091
50	39.12523355543286
51	39.20298712951251
52	39.22255703172614
53	39.22361832995616
54	39.017458355883896
55	39.04513686800692
56	39.13287320266898
57	39.15335577278844
58	39.08150017540564
59	39.06368615104168
60	38.998735792234235
61	38.98569845991541
62	39.04289939876362
63	39.060801459880075
64	38.976539237616294
65	39.01594691663114
66	38.93583541474479
67	39.00442660934523
68	38.917462205215
69	38.87939013480795
70	38.931638550966056
71	38.93838204477683
72	38.877160194224864
73	38.83740133964008
74	38.83877774872902
75	38.83652765076537
76	38.728950139262
77	37.833241269152396
78	38.212327039656735
79	38.61189343740047
80	38.67784838662633
81	38.790725467769626
82	38.793049395175366
83	38.82787309156053
84	38.74827390285867
85	38.65714202101055
86	38.671914345218454
87	38.609571817164785
88	38.63684657452639
89	38.62184438332198
90	38.56732328321957
91	38.53739090880279
92	38.45834495519658
93	38.44122684618231
94	38.412825825538846
95	38.227473489705226
96	38.26030488402402
97	38.27456137357734
98	38.22891049236588
99	37.976951613907964
100	38.06882118302695
101	36.15084945751753
