Base_Pair	Mean_Score
1	31.333997234891232
2	31.34864564809619
3	35.06620897710325
4	36.007718619412586
5	36.04202293180965
6	39.546081630212456
7	39.5977578555582
8	39.50282032074156
9	39.937379582975744
10	40.064187884237874
11	40.11160427665113
12	40.11177944191242
13	40.05979420409575
14	40.06047158736535
15	40.07002260417496
16	40.06303185170777
17	39.99277748817962
18	40.01463546494229
19	40.02886793339472
20	40.023821457133465
21	39.99168110494945
22	40.06019690961342
23	39.98486828197941
24	40.035224075504956
25	39.99002270892495
26	39.97066549269085
27	39.915768932578686
28	39.942856261627064
29	39.88184448438199
30	39.92484217304437
31	39.83639739178344
32	39.89102669393464
33	39.87520537181227
34	39.91472026878847
35	39.92985707882248
36	39.919587651663804
37	39.911723691639885
38	39.88504808824721
39	39.899686608397545
40	39.8891049680738
41	39.871733346097315
42	39.852759485729926
43	39.856566565927245
44	39.844695918780346
45	39.75917831779954
46	39.798654806446024
47	39.80710973099766
48	39.80617934740465
49	39.7980524940027
50	39.794516017946584
51	39.796290366390735
52	39.785775067727414
53	39.70639988977973
54	39.74219979925828
55	39.75558786640128
56	39.74851142262271
57	39.69681802991747
58	39.71305442387578
59	39.7011887232562
60	39.690245113522074
61	39.67264580580312
62	39.66810111109187
63	39.615308716406716
64	39.63642267726717
65	39.62182227447436
66	39.605025322582684
67	39.6016677944264
68	39.58864562481841
69	39.57291013949352
70	39.47799733731345
71	39.49903680929202
72	39.496023501242234
73	39.486141649047084
74	39.46365444491307
75	39.44377813428338
76	39.435535182975684
77	38.717748387322985
78	39.1162655057264
79	39.23457130848305
80	39.28614263835255
81	39.374422438379
82	39.385807889390996
83	39.359558705749855
84	39.34456854570206
85	39.32686943452027
86	39.31758989476845
87	39.27691838331775
88	39.132770612506654
89	39.17030442529427
90	39.174590591210396
91	39.158587702438446
92	39.11769083302284
93	39.07880167175165
94	39.02594904582216
95	39.000928346787646
96	39.002401829982325
97	38.986755236662965
98	38.761301541905304
99	38.82026211066284
100	38.894491590830825
101	37.72800035614997
