Quality_Score	Read_Count
37	398590
23	61346
39	1100373
27	82898
16	20603
25	70883
40	2669138
24	65685
36	293871
32	139809
30	109782
38	583144
35	232226
34	191241
29	98719
28	90113
31	123893
33	161319
20	51960
26	75827
22	57578
15	8814
21	54464
17	34886
18	44193
19	49586
14	2264
13	234
12	70
