Quality_Score	Read_Count
36	231571
40	4887132
29	59407
39	1157056
38	524799
35	178686
37	335633
33	111353
27	46170
24	33528
30	68043
34	142042
22	26442
32	92877
26	41670
25	36888
18	15903
28	52086
23	29619
31	78649
17	11595
21	23415
20	21464
19	19101
16	6384
12	63
15	2651
14	832
13	138
