Base_Pair	Mean_Score
1	31.24531252864989
2	31.521596143965954
3	35.21323825040251
4	35.92590426191383
5	36.19147520089683
6	39.58529431657798
7	39.83306944569753
8	39.74726809814022
9	40.01106955911316
10	40.077016008238786
11	40.134403585002275
12	40.17525761678804
13	40.12620681691039
14	40.13573773645002
15	40.13107603861814
16	40.127076255734984
17	40.043274738904245
18	40.07021131370628
19	40.08165427008
20	40.08314810198226
21	40.05624079181105
22	40.106760894730265
23	40.043760580347985
24	40.081674670320574
25	40.03567103494913
26	40.02794772244064
27	39.96698573209603
28	39.992193629369154
29	39.949230358423726
30	39.97958883072257
31	39.890950999715
32	39.94431159327458
33	39.93891111530179
34	39.978340165997245
35	39.98967164962781
36	39.981552961028136
37	39.97222822963434
38	39.954679894117895
39	39.97202313435854
40	39.96447650250504
41	39.95415313076299
42	39.936729989580094
43	39.90633290254016
44	39.914619771694596
45	39.84263242275807
46	39.881412065795146
47	39.895572747075754
48	39.89211454200792
49	39.889533304424894
50	39.88532308334579
51	39.884828013221785
52	39.87731574605926
53	39.80054016922728
54	39.83086464112516
55	39.838591475103755
56	39.83999362735342
57	39.78899982599081
58	39.806954952018756
59	39.79996738390108
60	39.79040246396048
61	39.77288825027501
62	39.769797735257576
63	39.72057074044495
64	39.73983245330986
65	39.73486244469926
66	39.7216014383141
67	39.713618265598264
68	39.704730682216834
69	39.69317030302979
70	39.60271721490087
71	39.62338788009564
72	39.620333794079244
73	39.612914663729356
74	39.59289255618293
75	39.5676880589499
76	39.52661557458796
77	38.844387693457726
78	39.22459329145374
79	39.33038031755646
80	39.37612299985052
81	39.463514716162834
82	39.47132424397376
83	39.450565177736486
84	39.437514973837295
85	39.41940988175511
86	39.41470264767194
87	39.37536843380917
88	39.22666598018238
89	39.27140905068816
90	39.27457485230772
91	39.263410699221886
92	39.221961660419296
93	39.18836076416873
94	39.13408191692318
95	39.11259293493526
96	39.11562067064091
97	39.0975078070385
98	38.879609315964146
99	38.928462184936194
100	39.00809379544897
101	37.87076909028406
