Quality_Score	Read_Count
40	4680762
39	731324
32	78607
36	181548
37	239863
33	96843
38	359025
35	144688
26	15648
34	117637
31	63821
29	39484
25	10317
28	29785
23	3098
30	50688
24	6033
27	21737
22	1414
21	659
18	50
16	33
20	255
13	11
14	17
19	103
17	36
12	6
15	17
